Episode,Total Reward,Steps,Falls
0,-1863.0,675,12
1,-399.0,300,1
2,-388.0,289,1
3,-164.0,164,0
4,-208.0,208,0
5,-164.0,164,0
6,-210.0,210,0
7,-143.0,143,0
8,-342.0,243,1
9,-351.0,252,1
10,-159.0,159,0
11,-160.0,160,0
12,-136.0,136,0
13,-298.0,199,1
14,-307.0,208,1
15,-123.0,123,0
16,-121.0,121,0
17,-436.0,238,2
18,-82.0,82,0
19,-141.0,141,0
20,-161.0,161,0
21,-112.0,112,0
22,-146.0,146,0
23,-114.0,114,0
24,-220.0,121,1
25,-176.0,176,0
26,-142.0,142,0
27,-44.0,44,0
28,-456.0,258,2
29,-182.0,182,0
30,-71.0,71,0
31,-202.0,202,0
32,-465.0,267,2
33,-148.0,148,0
34,-56.0,56,0
35,-127.0,127,0
36,-44.0,44,0
37,-135.0,135,0
38,-307.0,208,1
39,-97.0,97,0
40,-248.0,149,1
41,-214.0,115,1
42,-83.0,83,0
43,-627.0,231,4
44,-97.0,97,0
45,-135.0,135,0
46,-210.0,210,0
47,-64.0,64,0
48,-360.0,162,2
49,-75.0,75,0
50,-150.0,150,0
51,-105.0,105,0
52,-229.0,130,1
53,-67.0,67,0
54,-402.0,204,2
55,-420.0,222,2
56,-247.0,148,1
57,-37.0,37,0
58,-114.0,114,0
59,-465.0,168,3
60,-87.0,87,0
61,-173.0,74,1
62,-78.0,78,0
63,-75.0,75,0
64,-249.0,150,1
65,-68.0,68,0
66,-63.0,63,0
67,-88.0,88,0
68,-74.0,74,0
69,-459.0,162,3
70,-78.0,78,0
71,-190.0,91,1
72,-90.0,90,0
73,-54.0,54,0
74,-201.0,102,1
75,-50.0,50,0
76,-64.0,64,0
77,-102.0,102,0
78,-52.0,52,0
79,-53.0,53,0
80,-56.0,56,0
81,-147.0,48,1
82,-109.0,109,0
83,-32.0,32,0
84,-78.0,78,0
85,-283.0,85,2
86,-61.0,61,0
87,-73.0,73,0
88,-61.0,61,0
89,-246.0,48,2
90,-45.0,45,0
91,-115.0,115,0
92,-67.0,67,0
93,-48.0,48,0
94,-80.0,80,0
95,-69.0,69,0
96,-69.0,69,0
97,-214.0,115,1
98,-36.0,36,0
99,-71.0,71,0
