Agent,Environment,MeanReward,StdReward,MeanSteps,StdSteps,MeanFailures,StdFailures,MeanSuccesses,StdSuccesses,MeanRollbacks,StdRollbacks
Baseline,CliffWalking-v0,-407.3480,553.4113,182.6180,153.5906,2.2700,4.0752,0.0000,0.0000,0.0000,0.0000
1.1,CliffWalking-v0,-181.0360,161.3471,184.2240,167.6082,0.0020,0.0632,0.0000,0.0000,3.3860,7.1828
1.2,CliffWalking-v0,-172.3340,154.9712,173.3790,154.5808,0.0200,0.2227,0.0000,0.0000,3.0250,6.4806
1.4,CliffWalking-v0,-184.0880,170.2252,186.0620,172.2869,0.0160,0.1891,0.0000,0.0000,3.5580,7.4417
1.6,CliffWalking-v0,-177.2010,159.4075,178.7010,160.6692,0.0170,0.1507,0.0000,0.0000,3.1830,6.9013
Baseline,Taxi-v3,-1645.2400,642.9475,679.9090,279.0446,109.5760,40.8692,0.9930,0.0834,0.0000,0.0000
1.1,Taxi-v3,-565.8040,270.6851,696.6610,312.6084,0.0740,0.3009,0.9880,0.1089,110.7750,44.1783
1.2,Taxi-v3,-579.1020,273.2439,712.3070,315.3842,0.0700,0.2848,0.9850,0.1216,113.1500,44.6117
1.4,Taxi-v3,-569.2160,275.5123,700.8980,318.1436,0.0740,0.3009,0.9820,0.1330,111.7260,45.1643
1.6,Taxi-v3,-598.8960,284.5549,724.0830,320.6275,1.0790,1.2809,0.9780,0.1467,114.3600,44.7335
